,Title,Type,Description,Release Year,Rating,Runtime,Genres,Production Countries,Seasons,Imdb Score,Tmdb Score,Platform
1,Chernobyl,SHOW,The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.,2019,TV-MA,65,"drama, thriller, history",US,1.0,9.4,8.6,HBO
2,Band of Brothers,SHOW,"Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.",2001,TV-MA,59,"drama, war, history, action",US,1.0,9.4,8.454,HBO
3,The Wire,SHOW,"Told from the points of view of both the Baltimore homicide and narcotics detectives and their targets, the series captures a universe in which the national war on drugs has become a permanent, self-sustaining bureaucracy, and distinctions between good and evil are routinely obliterated.",2002,TV-MA,59,"drama, crime, thriller",US,5.0,9.3,8.501,HBO
4,The Sopranos,SHOW,"The story of New Jersey-based Italian-American mobster Tony Soprano and the difficulties he faces as he tries to balance the conflicting requirements of his home life and the criminal organization he heads. Those difficulties are often highlighted through his ongoing professional relationship with psychiatrist Jennifer Melfi. The show features Tony's family members and Mafia associates in prominent roles and story arcs, most notably his wife Carmela and his cousin and protégé Christopher Moltisanti.",1999,TV-MA,55,"drama, crime",US,6.0,9.2,8.603,HBO
5,Eyes on the Prize,SHOW,"The definitive story of the Civil Rights era from the point of view of the ordinary men and women whose extraordinary actions launched a movement that changed the fabric of American life, and embodied a struggle whose reverberation continue to be felt today.",1987,TV-PG,57,"documentation, history",US,2.0,9.2,8.5,HBO
6,Game of Thrones,SHOW,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",2011,TV-MA,58,"scifi, drama, action, romance, fantasy",US,8.0,9.2,8.4,HBO
7,The Last of Us,SHOW,"Twenty years after modern civilization has been destroyed, Joel, a hardened survivor, is hired to smuggle Ellie, a 14-year-old girl, out of an oppressive quarantine zone. What starts as a small job soon becomes a brutal, heartbreaking journey, as they both must traverse the United States and depend on each other for survival.",2023,TV-MA,60,"drama, action, horror, scifi, thriller",US,1.0,9.1,8.798,HBO
8,Homegrown,SHOW,Jamila Norman helps families turn their backyards into functional farms.,2021,,24,"documentation, drama",US,3.0,9.1,,HBO
9,Rick and Morty,SHOW,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",2013,TV-MA,22,"animation, scifi, action, comedy",US,6.0,9.1,8.729,HBO
10,Batman: The Animated Series,SHOW,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,1992,TV-Y7-FV,22,"family, scifi, animation, action, crime, drama",US,4.0,9.0,8.489,HBO
11,For The Love of Kitchens,SHOW,"Paul O'Leary, Helen Parker and Robin McLellan of deVOL Kitchens lead their skilled team of artisans to craft beautiful kitchens and furnishings for their clients from their 16th-century water mill-turned-workshop in the heart of the English countryside.",2021,,42,reality,GB,2.0,9.0,,HBO
12,Nathan For You,SHOW,"Self-proclaimed business expert, writer, director and comedian Nathan Fielder helps real small businesses turn a profit with marketing tactics that no ordinary consultant would dare to attempt. From driving foot traffic to an off-the-strip souvenir shop by using Hollywood flair and a Johnny Depp impersonator, to creating a rebate that can only be redeemed by climbing a mountain, to founding a coffee shop called ""Dumb Starbucks,” Nathan has always gone to the limit to make his ideas come to life. With his unorthodox approach to problem solving, Nathan’s genuine efforts to do good often draw the real people he encounters into an experience far beyond what they signed up for.",2013,TV-14,25,"documentation, comedy",US,4.0,8.9,8.1,HBO
13,Kindergarten,SHOW,Series that gets inside the hearts and minds of 23 real-life kindergarten students as they test the waters of academia for the first time.,2001,,27,"documentation, animation, reality",US,1.0,8.9,8.0,HBO
14,The West Wing,SHOW,"The West Wing is an American television serial drama created by Aaron Sorkin that was originally broadcast on NBC from September 22, 1999, to May 14, 2006. The series is set primarily in the West Wing of the White House, where the Oval Office and offices of presidential senior staff are located, during the fictional Democratic administration of Josiah Bartlet.",1999,TV-14,45,drama,US,7.0,8.9,8.292,HBO
15,Friends,SHOW,"Six young people from New York City, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.",1994,TV-14,25,"comedy, drama, romance",US,10.0,8.9,8.456,HBO
16,Joe Pera Talks With You,SHOW,"A teacher in Michigan's Upper Peninsula explores subject matters such as pancakes, blueberries, eggs, toast, sausage, bacon, English muffins, coffee, orange juice, maple syrup, waffles, cornbread, and strawberries.",2018,TV-14,12,comedy,US,3.0,8.9,8.4,HBO
17,The World Between Us,SHOW,"A ten-part hour-long series that follows the aftermath of a mass-shooting where all parties involved - the killer, the victims, the victims’ families, the media and the defense teams, whose fates are all intertwined.",2019,,52,"drama, crime",TW,1.0,8.9,9.022,HBO
18,True Detective,SHOW,"An American anthology police detective series utilizing multiple timelines in which investigations seem to unearth personal and professional secrets of those involved, both within or outside the law.",2014,TV-MA,60,"drama, crime, thriller",US,4.0,8.9,8.289,HBO
19,Last Week Tonight with John Oliver,SHOW,"A half-hour satirical look at the week in news, politics and current events.",2014,TV-MA,31,"comedy, reality, history",US,10.0,8.9,7.924,HBO
20,Making Modern with Brooke and Brice,SHOW,Plot under wraps.,2021,,24,documentation,US,1.0,8.9,,HBO
